,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
4,0.0580403,0.9607964,0.0518872,0.1534567,0.4283814,0.1639051,0.4124035,1.0589397,1.0288501,1.003481
4,0.0701708,0.9335947,0.0717822,0.1212827,0.4561749,0.1221635,0.4423349,1.0613742,1.0421991,1.0628686
4,0.0614186,1.0204521,0.0571586,0.1359517,0.5073628,0.0616005,0.4684279,1.069902,0.9920178,1.0149762
4,0.0656348,1.0157256,0.0899326,0.1690386,0.4709596,0.2743284,0.356203,0.9746449,1.0211512,1.0277757
4,0.0759054,0.9853582,0.0623228,0.1895779,0.4286039,0.2582817,0.409087,0.9768195,1.003852,1.0145364
4,0.069316,0.9652435,0.0686251,0.1673981,0.4138844,0.5958873,0.3767169,0.9912548,1.0670774,1.0997687
4,0.0807667,1.0600197,0.0897141,0.1666055,0.4533128,0.1297854,0.4500298,0.9715565,1.0103028,0.9754127
4,0.0763109,1.0470538,0.0851487,0.1833378,0.3789878,0.3476437,0.3936681,0.9804692,1.014273,0.9807103
4,0.0720255,0.9801897,0.0850901,0.1280541,0.4589726,0.118368,0.4417246,0.9982446,0.9689368,0.9633331
4,0.0565506,0.9609195,0.063563,0.1421756,0.4985234,0.0942212,0.4355685,0.9303902,0.9952407,0.9093958
4,0.0677626,0.994248,0.0856875,0.191184,0.5263983,0.2470555,0.3824745,1.0258058,1.070793,1.0854947
4,0.0696132,1.0365918,0.0524049,0.121851,0.4660743,0.1660425,0.436955,0.880855,0.9438947,1.0665835
4,0.0755435,0.9606574,0.0702124,0.1416336,0.4714383,0.1109348,0.4307962,1.0800761,0.9673283,0.9950629
4,0.0653999,0.9508603,0.0754014,0.190478,0.4544075,0.3592136,0.4095222,1.0383505,1.1062152,1.0131964
4,0.051813,1.0070447,0.0687631,0.1493682,0.4790606,0.2275764,0.4035865,0.9991796,0.9796966,1.0174369
4,0.0634617,0.9759521,0.0659456,0.1223086,0.439562,0.0679527,0.4549744,1.0236451,0.9933034,1.0418557
4,0.0621313,0.9798982,0.0601037,0.1316993,0.5193169,0.1801333,0.3555728,1.0339055,1.0565622,1.1459004
4,0.0517866,0.9902626,0.0545502,0.1451318,0.4665263,0.0710294,0.3603584,0.9899036,1.1197825,1.0425661
4,0.0449558,1.0180321,0.0570882,0.0987677,0.466944,0.1101014,0.4153789,0.9713579,1.0457498,0.9831361
4,0.093723,1.1052215,0.0485974,0.0999016,0.4509739,0.0639449,0.4728206,1.0915584,0.9737603,1.0263056
4,0.0853591,0.9717107,0.0777015,0.1411268,0.4604755,0.0501368,0.4329472,0.9863893,1.1210858,1.0595892
4,0.0778592,1.053919,0.0593134,0.2105728,0.4202332,0.5372139,0.3521391,0.993167,1.0554211,1.0476972
4,0.0417343,0.9846392,0.0712456,0.1294873,0.4838859,0.093465,0.4390033,1.0584995,1.0202751,0.9238343
4,0.072167,1.037074,0.0627706,0.1915616,0.5049319,0.2274691,0.4038908,1.093273,1.0066932,1.0610964
4,0.0780599,1.0864601,0.0654651,0.1880401,0.4200117,0.2481429,0.3929142,0.9644121,0.9572755,0.9827489
4,0.0687694,0.9796811,0.0584861,0.1314558,0.4165516,0.1790523,0.4105033,0.9878772,0.9860191,1.0156751
4,0.0668257,0.9880648,0.0867303,0.1681269,0.4940416,0.1944894,0.3493957,1.0744197,1.0354535,1.0600055
4,0.0798617,1.0157191,0.0613072,0.1692645,0.4539513,0.1526302,0.3701201,0.9403602,1.0602572,1.130028
4,0.068,0.997166,0.0617521,0.1468585,0.4700495,0.2047975,0.3385116,1.0972629,0.9912231,1.0093785
4,0.0883289,1.1449652,0.0348456,0.089277,0.4558245,0.0448489,0.4532376,0.9694793,0.9630114,1.1233198
4,0.0958528,0.966217,0.0563224,0.1374587,0.4963609,0.1022516,0.3865938,1.1307438,0.9388168,0.9818866
4,0.0653582,1.0445912,0.0455393,0.1228755,0.4034272,0.094179,0.3309507,0.9910403,0.9542013,0.9953556
4,0.0653975,1.0472164,0.0610327,0.1804703,0.4021593,0.2864906,0.4303093,1.0259231,0.958199,1.0597651
4,0.0712174,1.06166,0.0574519,0.1454952,0.5090678,0.2274673,0.4314331,1.0919101,1.0279039,1.0325061
4,0.0637895,0.9510123,0.0693552,0.1684272,0.5265983,0.1020065,0.3716449,1.0060888,1.032651,1.0445697
4,0.062808,0.9836902,0.0573324,0.1336811,0.4425313,0.119667,0.432068,1.0351468,0.9312467,1.0533657
4,0.0600525,1.0940992,0.0416341,0.0828805,0.5122266,0.0388424,0.3991192,1.0421612,1.0366902,0.9785155
4,0.0714718,1.0120927,0.0496758,0.1369615,0.5035319,0.0631446,0.4647921,1.0261515,1.0843294,1.0543677
4,0.0721107,0.9678208,0.0534699,0.1248366,0.4547111,0.1115102,0.4116653,0.9615388,0.9546387,1.1024856
4,0.0978998,1.037214,0.046965,0.178173,0.4827412,0.1634189,0.425988,0.9484225,0.9827075,0.9600402
4,0.0638359,0.9735765,0.0705059,0.1730129,0.4727762,0.1407102,0.3995669,1.0209981,0.9874078,0.9969536
4,0.0588703,1.0044073,0.0616132,0.1281005,0.4950842,0.1229613,0.4414483,1.0114765,1.0195176,1.048805
4,0.0717224,1.0014102,0.0634949,0.1925254,0.442481,0.3753455,0.4134676,0.923867,1.0268941,1.0010049
4,0.0748583,0.9750155,0.0511651,0.1648548,0.4739687,0.1267091,0.4361871,1.035296,1.0886733,0.9858253
4,0.0668346,1.0400695,0.0557606,0.1757981,0.4918123,0.1481634,0.3534762,1.0262719,0.9975962,1.0664864
4,0.0816492,1.0129533,0.0436692,0.1187669,0.4616564,0.0564498,0.3927331,1.0303428,0.9453337,0.9838504
4,0.0689928,1.0046708,0.0733514,0.1380972,0.4661785,0.1286308,0.3873739,1.0749526,1.0088409,1.012175
4,0.0745978,1.0171527,0.0715868,0.1559345,0.4711726,0.2510372,0.4528318,0.9355312,1.0143318,1.0297774
