,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
7,0.0653291,1.0434042,0.0621495,0.1555185,0.9045895,0.1045639,0.4785856,0.5567168,1.0015912,1.0742003
7,0.0519639,0.9957357,0.0746053,0.1442698,0.9992462,0.1316397,0.4398342,0.4954323,1.0287456,1.0100505
7,0.0598823,0.9756503,0.0552923,0.127866,0.8954776,0.1026411,0.443459,0.531864,0.9851772,0.946547
7,0.0710013,0.994164,0.0617657,0.1504721,0.8768415,0.1713816,0.3709864,0.5012154,1.0372308,1.0113844
7,0.0715456,1.106259,0.0640749,0.1727527,0.8847555,0.1694997,0.4031179,0.5206692,1.0849675,0.9343412
7,0.0756483,1.0095872,0.0534421,0.1886216,0.9668588,0.220426,0.3978424,0.5189284,0.9339792,1.0948982
7,0.0777752,1.0031279,0.0715875,0.1179167,0.960306,0.1183308,0.4255078,0.534216,1.0664395,1.0690467
7,0.0679585,0.9997414,0.0558135,0.1619828,0.9919523,0.0838874,0.3984236,0.5410369,0.998868,1.0466462
7,0.0630876,1.0047416,0.0556258,0.206372,0.8740321,0.3288543,0.3187951,0.4968994,1.1010956,1.0885415
7,0.067371,0.9753934,0.0475533,0.1586001,0.9004041,0.0898139,0.3996228,0.5080544,1.0399833,1.0269241
7,0.0839528,1.0433555,0.0541611,0.1642905,1.0218229,0.2158145,0.4067649,0.5041098,1.0470502,0.97952
7,0.0730875,1.0616722,0.0569542,0.1341777,0.9723094,0.0919729,0.4452433,0.5953482,1.0043115,0.9768824
7,0.0586348,1.057369,0.0611916,0.1827035,0.9047413,0.3095466,0.4289487,0.4678033,0.9805415,0.9451224
7,0.066654,1.0520509,0.0566434,0.1130293,0.913329,0.0914471,0.3769113,0.5430424,1.0018848,0.9716566
7,0.0702692,1.0447418,0.0414646,0.1106903,1.067316,0.0562387,0.3950976,0.5346703,1.0230185,0.9593779
7,0.0542005,0.9232773,0.0827826,0.1781202,0.8436751,0.2600145,0.4276691,0.5050249,0.9477798,1.0492605
7,0.068268,1.0208805,0.0420329,0.1585087,0.8967907,0.1377065,0.4090121,0.4621873,1.0237425,1.0695374
7,0.0709255,1.0507376,0.0753693,0.2043585,0.8185721,0.2852544,0.4102074,0.4720912,0.9610637,1.0283663
7,0.0651687,0.9829475,0.0772686,0.2053208,0.8569634,0.4461093,0.3856971,0.4895764,0.9601122,0.9961571
7,0.075334,1.0565899,0.0467708,0.127189,0.9571423,0.1207446,0.3937849,0.4956627,0.9606907,0.9897274
7,0.092615,1.0287501,0.0542818,0.1362008,0.8892086,0.1514216,0.3508068,0.4880063,0.9741347,1.0562893
7,0.0717529,1.0073467,0.0503112,0.1308472,0.8633712,0.2404478,0.403388,0.4422662,0.9353183,1.032549
7,0.0707868,1.0028529,0.0552783,0.1278646,0.9497317,0.1242676,0.3953978,0.509538,0.9700987,0.9929772
7,0.0753653,1.1128771,0.0844539,0.1184943,0.8769006,0.1596493,0.3821101,0.485267,0.9986232,1.0158632
7,0.0759107,0.9888725,0.0443157,0.1403633,0.9788756,0.099012,0.4544648,0.501106,1.0226571,1.0150986
7,0.0537988,1.005291,0.0657021,0.1017166,0.9950853,0.057414,0.3964616,0.4868171,1.0273499,0.9645485
7,0.0684173,1.0230247,0.0510653,0.1448278,1.0658513,0.0981174,0.3917775,0.5461152,0.9809774,1.0390998
7,0.0598839,0.9929044,0.0724545,0.177256,0.9257311,0.1606085,0.4223398,0.5175858,1.0118831,0.970423
7,0.063892,1.0358145,0.0658799,0.1856601,0.9365782,0.2223953,0.4150266,0.5184713,0.9851151,0.9689296
7,0.0782041,0.9893081,0.0589855,0.1720253,0.8168449,0.2519013,0.4069882,0.4766246,1.015189,0.9768256
7,0.0401761,1.0265463,0.0668562,0.1293386,0.9258052,0.1060724,0.3675448,0.5092379,0.947748,1.0201416
7,0.0666627,1.0032979,0.0576937,0.1756038,0.9527674,0.2001174,0.3962235,0.5218992,1.0867827,1.0263251
7,0.0675057,0.9358402,0.0576359,0.1742117,0.9200906,0.1254466,0.3825228,0.4870124,1.0631833,1.0171503
7,0.0691152,0.9632528,0.0634843,0.1969929,0.8313276,0.2532198,0.4257295,0.4545871,0.9772602,1.0286171
7,0.0509191,0.96126,0.0490569,0.1693289,0.9203785,0.1399329,0.3956862,0.4803592,0.9281219,1.0357491
7,0.0789186,0.9800097,0.0753212,0.1780973,0.8731062,0.2773484,0.4117954,0.4347251,1.0854192,1.114712
7,0.052205,0.9354989,0.0545861,0.0866825,0.9738085,0.066444,0.5087206,0.5432769,1.0239153,1.0501035
7,0.0532192,1.0497356,0.0563067,0.1250402,0.8892757,0.0691428,0.4821021,0.4865842,1.0421629,1.0796681
7,0.0714452,0.9724284,0.0577782,0.1415769,0.8808435,0.2325964,0.36865,0.539757,0.9620426,0.9964667
7,0.0748069,0.9687482,0.0773795,0.1807022,0.9452246,0.2674753,0.3841656,0.5060016,1.0873795,0.9964071
7,0.0642365,1.1271804,0.0806423,0.2104879,0.9622299,0.4060755,0.3730349,0.5772481,1.0858342,1.0201859
7,0.0529349,1.0648094,0.0594104,0.1465251,0.9447469,0.1129313,0.3624942,0.5441573,1.0024193,1.0777921
7,0.0759888,0.9318923,0.0588709,0.1494892,0.9478579,0.2525461,0.4044266,0.4518024,1.0908096,0.9701995
