,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
6,0.0594493,0.9217553,0.0604875,0.1372998,0.9709191,0.1284727,0.1769671,0.9683824,1.0261778,1.1080544
6,0.0485981,1.0695964,0.0733624,0.1589958,0.9544018,0.1721124,0.211717,1.0330682,0.8890015,0.8946111
6,0.0567838,0.9877026,0.0810098,0.1566598,0.8287277,0.2835191,0.2187153,1.0195033,0.9881371,1.0006727
6,0.0811614,0.9350194,0.0627784,0.1760991,0.8490131,0.2471288,0.1913495,0.9805857,0.9980861,1.1070459
6,0.0546294,0.9528682,0.0698795,0.1764828,0.8966604,0.3489426,0.1857923,0.9793179,1.0996501,1.1047402
6,0.0707294,1.096188,0.0591382,0.1328452,0.9356761,0.0770907,0.2186064,0.9960259,0.9853505,1.0042922
6,0.106327,0.9787775,0.0500657,0.1305082,0.9511971,0.1794999,0.2309584,1.0240269,0.9982004,1.0163488
6,0.070253,0.9945157,0.0846077,0.1236719,0.9648187,0.1258414,0.2115137,0.9141876,0.9994631,0.9834263
6,0.0543028,0.9269133,0.059582,0.133814,0.9157283,0.2026958,0.2551052,1.011445,1.0293353,0.9812056
6,0.0809862,0.9484656,0.0363686,0.2093006,1.0050221,0.1666589,0.211297,1.0270416,1.0114507,1.072946
6,0.074575,0.9925326,0.0744391,0.1892877,0.862675,0.3989102,0.1894008,1.0054954,0.9755819,0.9539992
6,0.0745054,1.0499684,0.074689,0.1421135,0.9713641,0.2423885,0.1709966,1.0027946,1.041115,1.0124774
6,0.0508999,1.1260489,0.0844177,0.1710245,1.0274938,0.1557841,0.2345047,1.1049577,1.0622855,0.9587177
6,0.0594863,1.0485797,0.0516973,0.1688532,0.9315126,0.2055633,0.1905466,0.9414731,0.9614781,1.010937
6,0.0776676,0.964897,0.0532572,0.1617908,0.9566133,0.1320655,0.2333282,1.0192075,1.0105033,1.0051565
6,0.0773596,1.0303433,0.0424726,0.130906,0.9531473,0.1060779,0.17846,0.9787155,1.0596564,1.0281452
6,0.0824932,1.0422369,0.0385588,0.1361894,1.0598965,0.0440651,0.2729435,1.0692831,0.9904369,1.0254678
6,0.057791,0.9510411,0.0708337,0.1804798,0.9704217,0.1823824,0.193872,0.9802852,1.1233449,1.0899017
6,0.0680242,0.9132657,0.0269309,0.1157445,1.0283469,0.065927,0.2365975,1.0618199,1.0462986,1.0788492
6,0.0824308,1.0259675,0.0881817,0.157331,0.7739786,0.2436666,0.1815987,1.0138961,1.0341084,1.0633611
6,0.0665634,1.0044234,0.0746272,0.1921685,0.9014502,0.2905135,0.1942825,1.0042107,0.9014631,0.9651241
6,0.0667983,0.9811904,0.0516796,0.1161755,0.9335282,0.0616278,0.2133105,1.0480088,1.030568,1.0111728
6,0.0818873,1.0534841,0.0716182,0.1276609,0.9499691,0.0528209,0.1877944,0.9943815,1.0177147,0.9698161
6,0.0835791,1.0582894,0.0580612,0.1419755,0.8988999,0.1073217,0.2064694,1.0764929,1.0516416,0.9624611
6,0.0691471,0.9342997,0.0740066,0.1713491,0.9415787,0.2517461,0.1967492,0.957706,1.0466083,0.9950481
6,0.0745221,0.9761737,0.0309903,0.1387536,1.0056541,0.0629803,0.2204733,0.9920394,1.0356824,0.9816051
6,0.0494101,1.005056,0.089472,0.1783079,1.0844372,0.2395877,0.2325441,1.0727646,1.110875,0.9860646
6,0.0781656,1.0356506,0.0784903,0.1674918,0.8080984,0.2041913,0.1982008,1.0198348,0.9551859,0.9794359
6,0.0557884,1.0226121,0.0580317,0.1474017,0.9233537,0.2154617,0.2013995,1.0406148,1.0570367,1.1374024
6,0.0691267,1.1345108,0.0592628,0.1419663,0.8791575,0.1463409,0.1959782,1.1345791,1.0051266,1.1348835
6,0.0734243,1.0603309,0.0666779,0.138531,0.9184413,0.1723943,0.2462171,1.0591755,1.0506213,0.9884551
6,0.0871207,0.9886726,0.0582061,0.1595321,0.9352803,0.1278276,0.1933511,1.0319465,1.0917401,1.0020614
6,0.0819353,0.978179,0.0631945,0.1381652,0.9341973,0.181887,0.204967,0.9702341,1.0021624,1.1217327
6,0.0706146,1.0095916,0.0529163,0.0925603,0.9746016,0.0367439,0.2365041,1.0589295,1.0556818,0.9797526
6,0.0470757,1.0731171,0.0615814,0.1647397,0.9351326,0.157408,0.2033829,1.0037026,1.0261391,0.9148148
6,0.0619894,0.9993308,0.0611703,0.1498551,0.9687486,0.1343676,0.2396446,0.9951156,1.0577367,1.0205148
6,0.0594635,1.0466053,0.050761,0.1614475,0.8925417,0.1484517,0.2227897,1.0257503,0.9655204,1.0532439
6,0.0685247,0.9885792,0.0459735,0.1462468,0.9671992,0.1667312,0.2396998,0.8997278,1.075311,0.9881315
6,0.0788022,1.0743208,0.0562978,0.1467066,0.9555972,0.2271699,0.174016,1.0427701,1.048979,0.9673292
6,0.0958428,1.0601385,0.0689397,0.1594016,0.9213106,0.1664255,0.2237056,1.1179692,1.056268,1.0145393
6,0.069834,1.0823064,0.0554601,0.1367232,0.8673255,0.0725981,0.2382144,1.1020344,1.092593,1.0527216
6,0.0599269,1.016734,0.0909743,0.113686,0.9292952,0.1570241,0.2142399,1.0056223,1.0425548,0.9862017
6,0.0980344,1.0575637,0.0524921,0.1257596,0.8928194,0.1330665,0.2162887,0.9497872,1.1073921,1.0482458
6,0.0650601,1.0591636,0.0605926,0.1217781,0.9463612,0.1045617,0.1940657,1.0442429,0.9274918,1.0039906
6,0.0753194,0.9763686,0.0602645,0.1473398,0.9123919,0.2200028,0.2378738,1.0273673,1.0393387,1.0587297
6,0.0773202,0.9220104,0.047298,0.1505864,0.9211652,0.1485556,0.1825621,0.9667788,1.0086994,0.9516523
6,0.0754183,1.0214984,0.0576662,0.1947534,0.963745,0.3153121,0.1635008,1.0160297,1.1036342,0.9441535
6,0.066183,1.040442,0.0609131,0.1056915,0.9290201,0.0457781,0.2330839,0.9798589,0.9462841,0.9596689
6,0.0555726,1.0054408,0.0512925,0.1840083,0.8979018,0.3423259,0.1885102,1.035628,0.9823245,0.9854659
6,0.0873025,0.8918506,0.0598927,0.1618569,0.8718915,0.1348673,0.2200121,1.0363387,1.1132161,0.997562
6,0.0890463,1.0246827,0.0487078,0.2077199,0.9547963,0.2108323,0.1982763,1.0975949,1.0463639,1.0010053
6,0.0736199,0.9980687,0.0526669,0.1859038,0.8419803,0.226356,0.2109491,1.0378055,1.048827,1.0492319
6,0.0740183,1.0303201,0.0681948,0.1458274,0.9788068,0.1408141,0.2345389,1.0032924,1.0345514,0.9735971
6,0.0580747,1.0224603,0.023675,0.1312297,0.9243624,0.0571221,0.2098751,1.0074677,1.000876,0.9897782
6,0.072005,0.9652101,0.0742773,0.1293785,0.9570555,0.2075826,0.2297427,0.9965292,0.9925,1.0254055
6,0.0413629,1.0491813,0.052893,0.2022581,0.9453951,0.3257649,0.1530879,0.9820462,0.9813822,1.0144212
6,0.0729589,0.9811314,0.069441,0.1552151,1.0057588,0.2898882,0.202615,0.9979144,0.9895764,1.0269659
6,0.0376316,0.9854652,0.0702601,0.162903,0.8864106,0.1976697,0.1796337,1.0339378,1.0714623,1.0456291
6,0.0477123,1.0041672,0.0667704,0.1305055,0.8739559,0.245254,0.2050519,1.0410867,0.9969684,1.0212184
6,0.0493745,0.9850845,0.0560892,0.121079,0.9599012,0.086838,0.243944,0.9519353,1.1019067,1.0517201
6,0.0724877,1.0303184,0.0535365,0.1242735,1.0516341,0.1177984,0.2014078,1.0573835,1.0210317,1.070583
6,0.0764389,1.0358236,0.0665928,0.2090809,0.9182986,0.2452872,0.1671937,0.9675355,1.0567237,1.0362306
6,0.0800907,0.9039919,0.0720348,0.1710195,0.8594329,0.3995574,0.1698418,1.0166456,1.0802389,1.0354662
6,0.0684834,1.1217246,0.0465981,0.1235477,0.962187,0.0753377,0.2342987,0.9872825,1.0454227,1.0523258
6,0.0869844,0.9645406,0.0679117,0.1089171,0.9511982,0.0493341,0.2220667,1.0183439,1.0182582,0.9545727
6,0.080889,1.0324494,0.0751359,0.1574876,0.9277229,0.1996223,0.2375759,0.945867,0.9111254,0.919466
6,0.0539339,1.0234615,0.0523904,0.1321563,0.8611345,0.1622056,0.1766377,1.0559056,0.9704633,1.0292258
6,0.0668896,1.0084099,0.0808078,0.1604674,0.9421538,0.282199,0.2116183,0.9976069,1.066291,1.0666977
6,0.0558638,0.9943502,0.062894,0.1053719,0.9028975,0.0754375,0.2241386,0.979932,0.9855897,1.0634156
6,0.0941278,1.00027,0.0602079,0.123133,0.9559764,0.0807385,0.2288358,0.9285855,0.9844478,0.9530288
