,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
3,0.0821912,1.0268414,0.0676873,0.0859248,0.9098633,0.1715612,0.4260028,1.068345,0.9830939,0.946609
3,0.0796708,1.0202067,0.0663461,0.0887281,0.8554281,0.2069653,0.4464771,1.0272586,1.0059764,1.0308568
3,0.0598457,0.9969865,0.03522,0.101345,0.8825426,0.1963008,0.4199246,1.0222665,1.0387354,0.9743114
3,0.0567521,1.0470648,0.0417227,0.0615985,0.9547165,0.1517705,0.4509048,1.1234934,0.9732301,0.996437
3,0.0695192,1.042868,0.0604708,0.1105213,0.8608585,0.2275576,0.3651767,0.9630701,1.1307942,1.0865225
3,0.0871204,1.093894,0.0471258,0.0472958,0.994465,0.0677802,0.3716329,1.0550963,0.9748643,0.9719006
3,0.0736898,0.9105829,0.0502206,0.0899671,0.9873693,0.2327316,0.391806,0.9742911,0.9945877,1.0991671
3,0.0747578,1.0119767,0.0580845,0.0586567,0.8596333,0.1151955,0.386109,1.0740056,1.027293,1.0870424
3,0.0469896,1.0073277,0.0534575,0.0989958,0.8461008,0.3760029,0.3500653,1.0429378,0.9912601,1.1564458
3,0.0961623,0.9279554,0.0752947,0.0986191,0.9247449,0.1810941,0.3729994,1.0559919,0.8960499,1.0637028
3,0.0746813,0.9944659,0.0533982,0.043927,0.9478502,0.1063497,0.4529336,1.0486354,1.0824456,1.0935641
3,0.0622901,0.979722,0.0623703,0.0835622,0.9364154,0.2171392,0.4230882,1.0074625,1.1039907,0.967913
3,0.0937739,1.0935282,0.0547112,0.0849429,0.908711,0.2286751,0.4007571,1.0684329,0.9619543,1.0310837
3,0.0710309,1.0897522,0.0656442,0.0582973,0.9468254,0.2109379,0.3903385,0.9967291,1.0452799,1.1959212
3,0.0717602,1.0151285,0.0724031,0.0755241,0.7642676,0.3051693,0.4069822,1.0166708,0.9453892,1.0544498
3,0.0910826,1.0589191,0.0659456,0.0657153,0.9097308,0.0978901,0.3770573,0.9913727,1.080666,1.0320492
3,0.0999661,1.0467493,0.0452507,0.0798649,0.8830072,0.182858,0.4479762,0.9844135,0.9438872,0.9549638
3,0.086454,1.0135975,0.0751724,0.0853156,0.8807977,0.3272319,0.3966951,1.0463874,1.0259207,0.9579265
3,0.0469519,1.0093565,0.0489121,0.0607669,0.957185,0.0524387,0.4281021,1.0050467,1.0480542,1.0490208
3,0.0655413,0.9438451,0.0923174,0.0941815,0.9827024,0.2622027,0.391712,0.9283544,1.0168067,1.0187422
3,0.0578422,0.9980291,0.070374,0.1002922,0.8908823,0.3046473,0.4285186,1.0509528,0.9668374,1.032576
3,0.0606931,1.0146446,0.0472072,0.0488211,0.9799247,0.0763822,0.4146514,1.0102746,1.0083932,0.9629082
3,0.0851614,0.9936823,0.0472233,0.1095007,0.9524502,0.2599011,0.4281397,1.0039785,1.0618507,0.9678203
